【#美国加州两名执法人员中枪一人身亡#】据美国有线电视新闻网，在当地时间29日晚的抗议活动中，加利福尼亚州奥克兰市两名联邦保卫局的执法人员中枪，一人因枪伤身亡。据CNN介绍，联邦保卫局隶属于美国国土安全部，该局为美国政府设施提供安全及执法服务。当晚至少7500名示威者上街，有人破坏公物、盗窃商铺、纵火及袭警等。加州奥克兰两执法人员在抗议活动中中枪，一人不治身亡,2021/5/30 20:24,"评论
1061",学医已经救不了美国人了，这是制度的问题，建议多送几本毛选过去，让黑人好好学学怎么打游击战。,从美国第一天官方发布对中国香港暴乱表示支持，就已经亲手毁掉了一直遵奉的“自由、民主”的核心价值！当违心的说出香港暴徒暴乱纯属正当行为的那一刻起，就注定了那一幕有天会在自己的国家上演。,美国日记依然香甜，还是我们向往的自由国度吗,自由美利坚,方方大师我想看美国日记,自由美利坚 抗议每一天,好！这热闹的场面终于在自由的国度展现了,美国黑警vs香港警察 PK执法力度 看来是美国黑警完胜 建议香港废青都去美国体验一下民主的子弹。,美国就让它乱。我国政府抓紧时间解决国内问题凝聚所有人的爱国力量。#先～锋～集～团～网～信～理～财～诈～骗～750～亿#,不知人日是以什么立场在报导米国的事情， 先 锋 集 团 网 信 理 财 诈 骗 750亿，17万受害人投诉无门，上海一受害人因绝望而自杀，请人日也报导一下！,2020不得了，疫情大爆发，黑人被打到，百姓无所事事，齐骂川普领导。尤其美国警察，更是天下难找。大选比较乱套，成天勾心斗角。今天推特被骂，明天世卫被炒。闹完失业危机，又要开枪打脑。纵观世界风云，风景美国更好！,西方媒体该怎么报道呢,天道好轮回苍天饶过谁 看 美利坚乱了,自由美利坚枪战每一天,美 国50 洲想啥呢赶紧 独 立吧，我不介意多认识50面 国 旗,枪支合法的代价…,,,,
,,,,,,,,,,,,,,,,,,,,,,
#毕业季#【又见“硬核”毕业照！#法医学生模拟犯罪现场调查拍毕业照# 】5月30日，山西医科大学法医专业的毕业生拍摄了一组专业特色的毕业照。同学们穿上白色的防护服，拉起警戒线，还从食堂要来面粉在地上勾勒现场，俨然一副拍大片的模样。他们说毕业照不想只是穿西装和校服，更希望用专业特色被大家记住。青蕉视频的微博视频,2021/5/30 19:54,"评论
977","10年后, 哥们聚一起再回顾当年那宗“毕业惨案”！",终于有些有意思的毕业照了,这个毕业照硬核,我的天，有那意思了，一股案发的味道,以后参加工作的工作照也是这样的,果真硬核,人民日报为人民，报道一下国内的金融灾民吧！仅仅一个～先～锋～网～信～就血洗了17万百姓750亿,张振新的尸体哪去了？,有意思,很硬核每个专业都可以想想别致的毕业照拍摄方法，以后回忆起来一定很有意思,太有特色了，真不错,我们学校！学长学姐们毕业快乐！,法医牛了,哈哈哈我的天,有意义,太硬核了,,很有意义,硬核啊！！,
,,,,,,,,,,,,,,,,,,,,,,
【#不吸烟最时尚#，支持请转！】在第33个世界无烟日、第71个国际儿童节来临之际，卫健委等#五部门倡议成年人创无烟环境#：不在公共场所、室内工作场所和公共交通工具内吸烟，不让别人吸二手烟，争做无烟家庭，引导孩子树立“不吸烟最时尚”理念，送给孩子一份最珍贵的节日礼物—无烟健康的世界。网页链接,2021/5/30 15:01,"评论
1743",支持！拒绝二手烟！,不吸烟，为明天,不吸烟我们怎么赚钱，烟厂怎么赚钱？GDP 怎么上涨 反正我不吸烟,每年1万亿＋的税收有本事不收，全面禁烟，关闭工厂，呼吁有屁用！,吸烟有害健康，拒绝二手烟,不吸烟最时尚。支持，不抽烟从自我做起。,我爸为了我把烟戒了,还记得李兰娟院士的话吗，吸烟者感染新冠后变重症的风险更大！珍惜自己的生命,真的！支持！！每次在公共场合能被烟味呛死而且还有安全隐患,少抽一跟烟，多陪她2秒,不让生产香烟不就好了嘛！用得着天天出来呼吁人不去抽烟，累不累？,#世界无烟日# 保护青少年，远离传统烟草产品和电子烟。#消防蓝朋友# 提示：不在危险场所吸烟，不乱扔未熄灭的烟头，远离火灾危害。,支持，还有景区吸烟的太讨厌了！,吸烟有害健康，不吸烟最时尚,我们大部分人都“吸”二手烟,吸烟有害健康，建议不要吸,为什么还要生产香烟呢,和@TFBOYS-王源 一起拒绝吸烟[加油],,
,,,,,,,,,,,,,,,,,,,,,,
【#广州教育局回应小学教师涉嫌体罚学生#：已成立专项调查组】#广州市白云区教育局发布声明#：5月30日，微博网友“小岛里的大海”反映#广州市方圆实验小学#一名教师涉嫌体罚学生。接报后，我局高度重视，立即联合公安等部门迅速介入，成立专项调查组对该事件进行调查。事件调查结果将及时向社会公布。,2021/5/30 12:57,"评论
38926",广州连夜成立教育局,闹了半年没结果 发微博半天就有调查组原来调查组都住在微博呀,为什么这么久才处理？,为什么原博说找遍投诉部门无下文，这点需要彻查整改。,???现在是需要通过舆论和网络才能调查了吗???,期待给出公正的回应,19年12月份的事，过去这么久了，事件如果不发酵，都要不了了知了，哎,这是培育祖国未来花朵的园丁吗？这不是刽子手吗？,不上热搜你们教育局是不是就不存在啊？？？不行解散吧？现在都只能微博维权了要你们要什么用？,一定要严查,广州连夜成立教育局,看了原博妈妈 不停的维权 5月27日还被那位老师半夜堵住砸头 说不停止就弄死她 真的五味杂陈 这是黑社会还是什么 这个什么妍的是魔鬼吧！？？新浪删我评论？？呵呵,教育局就是这样做事的？要是没有热搜是不是就遮掩过去了？,这叫体罚？这TM叫谋杀跟故意伤害！明知道孩子有哮喘还叫人家跑步做剧烈运动？还跑十圈？成年人没有病突然跑十圈都受不了，就别说是一个六岁的孩子了。这种老师也招进学校？学校是瞎了眼嘛？前前后后拖了大半年学校都不管，垃圾学校，垃圾老师。等着被处罚吧,反应及时是好的，但是为什么这件事非要闹上微博闹上热搜才能有个结果呢？之前多次维权无果是因为什么不仅要对该事件进行调查，也要对教育系统进行监察吧,真的很过分！,等一个真相,,,
,,,,,,,,,,,,,,,,,,,,,,
【在总书记心中，#什么是国之大者#？】“对国之大者要心中有数”，5月23日，习近平在看望参加政协会议的经济界委员时这样强调。什么是“国之大者”？如何做好今年工作？今年“两会”，习近平到团组对民生问题、生态文明建设、统筹疫情防控和经济社会发展、国防和军队建设等工作做出新部署，转发学习↓ 何为国之大者？习近平今年两会部署了这些事,2021/5/30 11:59,"评论
472",生命至上，为国为民。,国之大者，为国为民！,以人为本,民族团结一家亲,实现中华民族伟大复兴是强国梦,大国风范！,人民至上，支持,心中有国，才会有更好的管理视野，祝福祖国！,实现中华民族伟大复兴是强国梦,国之大者 为国为民,,希望祖国越来越繁荣昌盛,以人为本,支持,,人民至上。,支持!,越来越好,,
,,,,,,,,,,,,,,,,,,,,,,
"【#国台办批台立法机构插手干预香港事务#：必将自食恶果】全国人大通过涉港立法决定后，台湾地区立法机构发表所谓“声明”，在肆意攻击的同时，声称要“救援港人”和推动有关“立法”和行政措施。国台办发言人马晓光30日对此应询表示，台立法机构这些图谋不会得逞，插手干预香港事务，必将自食恶果。
马晓光说，民进党当局和岛内一些政客一而再、再而三歪曲事实，颠倒黑白，妄加指责涉港立法，就是因为有关涉港立法要斩断“台独”“港独”勾连乱港分裂的黑手。马晓光表示，台立法机构发表所谓“声明”，推动所谓“立法”、行政措施，给乱港分子提供“救援”，是对违法暴恐势力的公然庇护，进一步暴露其搞乱香港、攻击“一国两制”、谋求“台独”的政治本性。国台办：台立法机构插手干预香港事务必将自食恶果",2021/5/30 10:39,"评论
690",ecfa断了他们就知道痛了,武力统一吧！,要几桶统一方便面？,自身难保的人还企图救别人，真好笑,想吃统一方便面了,废青 台独 都跑不掉咯,对不起我来占个楼 希望大家看看这个好嘛 #广州一小学体罚哮喘儿童至吐血抢救# 这个小姑娘被老师体罚出事 孩子的妈妈还被那个老师暴力威胁 大家看看这个吧看看这个吧好嘛,惠台办也知道说人话？,坚持维护国家统一！把不法分子一网打尽！,惠台暖人心,给弯弯轰了得了,惠台政策暖人心,直接战略轰炸机飞越台湾，跟台湾费这些吐沫星子了[加油][加油][加油][加油],趁机统一台湾吧，越往后越难，等台独废青成了台湾中流砥柱，那统一更难了。,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【致敬！#李兰娟张伯礼等获全国创新争先奖#】今天是第四个#全国科技工作者日#。上午，第二届全国创新争先奖表彰奖励大会在京举行。第二届全国创新争先奖对一批疫情防控”和“脱贫攻坚”中作出突出贡献的科技工作者给予了表彰。中国工程院院士李兰娟、张伯礼，数十年扎根农村大地的中国农业科学院蔬菜花卉研究所研究员金黎平等上台领奖。抗疫战士李兰娟、张伯礼等人今天领取第二届全国创新争先奖,2021/5/30 10:34,"评论
864",@方方 出来道歉,@方方 出来写个日记？,@方方,张伯礼院士才是真一线，不口嗨，实干兴邦，国之栋梁！,能不能别在这种新闻下面无限的说那个老女人，有点太抬举她了，她更觉得自己了不起了,致敬，李兰娟张伯礼等获全国创新争先奖，你们值得,@方方 你算什么东西,@方方 进来观礼,致敬！,方方表示她也可以,张院士频繁的出现在官媒的报道上就知道官方的态度了,@方方 在？围观一下？张院士大概还没给宁道歉呢吧,@方方 方方表示:张院士是谁？我只认识医院的朋友！,实至名归,我记录在此。等着方方及方方们的道歉。或许近期他们不会，但我相信总有一天他们会，如果他们尚有基本的常识、判断以及良知的话。我不知道方方478万粉丝是怎么来的，反正我也粉了，但是这本武汉日记将会是她一生的污点，就是道歉也洗不尽这个污点。,致敬科技工作者,方方是谁啊，你们为啥都说方方,致敬工作者，你们辛苦了,,
,,,,,,,,,,,,,,,,,,,,,,
【#6月2日起国家大剧院限流开放#，#国家大剧院对医护人员免票#】据@国家大剧院 公告，国家大剧院将于6月2日起对公众有序限流开放参观。目前参观仅供个人线上实名制提前预约。可使用二代身份证等证件（护照、港澳通行证、台湾通行证）于参观日前一天23:00点前进行预约，每日预约参观人数限额600人。有序限流开放参观期间，医生及护士凭本人执业证书原件，可预约申领免费票。,2021/5/30 10:11,"评论
824",医护执业证书原件...在医院保管着。不是想拿就能拿出来的。你要是想拿，医院就觉得你要辞职了。。,我想说，大家知道医院有技师的吗？疫情期间没有少出力，但是去享受医护人员福利的时候别人说只有医生跟护士才能享受，可真是太难受了,执业证书原件？？？ 原件都被单位收着呐 还原件 不过还是感谢这份心,医护人员值得被优待,医技哭晕在厕所,感谢国家大剧院，虽然无法前往，但是感谢组织将医护放在心上,谢谢，白衣天使值得拥有更高待遇,医护人员的贡献值得这样的待遇,能不能改成医务人员 医院不是只有医生和护士 评论配图,医院不是只有医生护士 还有药师检验师等等医技人员 所有核酸检测都是检验师冒着风险做的 没有检验哪来确诊 不吃药病又怎么好 只对医生护士免票很让人寒心,又是医护？药检放都下岗算了。医护自己撑起医院一片天。,各位英雄快去享受属于你们的快乐吧,越来越好了,医生及护士 医技人员呢,医技科室感觉不存在一样……,支持，感谢医务人员的付出，谢谢，国家就应该多出一些政策感谢医护人员,医技人员不配吗？？？？？？,医技哭晕了也没有名字,医技科室再一次哭晕,
