"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
【#62个国家7个国际组织向中国捐赠物资#】外交部副部长马朝旭：截至3月2日，共有62个国家和7个国际组织向中国捐赠了口罩防护服等等中国急需的疫情防控物资。这里面不光是数字，还有很多感人故事。缅甸政府提供大米，斯里兰卡提供红茶，蒙古捐赠3万只羊，#巴基斯坦拿出全国医院库存口罩给中国#。这些捐助是雪中送炭，患难见真情，我们将铭记在心。 人民日报的微博视频,2020/3/5 10:39,"评论
12909",等中国恢复元气，便以涌泉相报，展示大国担当,今天是周总理的诞辰,谢谢,拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,#外国人永久居留管理条例# 反对反对,锦上添花易 雪中送炭难 中国自会以德报德 坚决反对#外国人永久居留管理条例#,拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,#外国人永久居留管理条例# 我们中国青年就业问题都没有解决呢，哪来的劳动力不足？是根本没有工作好吗。我们中国缺人才吗？她妈的为什么不想想人家人才要去国外申请绿卡。这个外国人永久居住条例是哪个神仙想出来的？,：拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,梵蒂冈全国就842个人，捐了700000个口罩，平均每人负担831个，这可不止举国之力这么简单,#外国人永久居留管理条例# 长此以往国将不国。我就想国家是真的看不到呢还是装看不到呢？还是现在没空收拾这档子事情啊！怎么想都觉得这件事情很奇怪，这个条例里面的漏洞以及对自己国家和民族的危害他们肯定比我们看的明白吧？而且我们的外交部一直都是挺强势的这说明什么？迟迟没动作好奇怪。,拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,巴基斯坦真硬核,巴基斯坦，蒙古，缅甸，都很不容易，这都是穷国,我就想问收到美国政府的捐款了没？？？,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#浙江输入病例曾途经巴黎广州杭州#】4日，浙江省湖州市公布2例新增意大利输入病例情况。2例病例为母女关系（母亲 45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班），2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清县，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。湖州新增境外输入病例2例，刚刚最新疫情公布,2020/3/5 10:00,"评论
14306",“一直生活在意大利”，这时候回来干嘛？回来爱国吗？祸国殃民还差不多,久居意大利现在想着跑回来了，还不包机，沿途害人，这种人浙江也不欢迎，不要脸,祖国危难的时候撒开脚丫子就往国外跑，国外情况有所恶化又恬不知耻跑回来，这种人应当在国内自费治疗。,不能狭隘的说不让国外的华人回来。但是你们回来也要对祖国负责，同胞负责，回来就应该向有关部门通报，知晓你的行程和动向啊，自觉接受隔离措施才行，不然前线医务人员的努力，武汉市民的努力，还有我们湖北除武汉外的其他地区人民的努力都白费了。,第一这两个人一直生活在意大利，户籍是不是已经不是中国？第二，是中国国籍回来为什么不到广州直接报备隔离？这母女真的不负责任，我们湖州已经十几天无新增，现在又要开始倒数，你们回来又接触了一个航班多少人。你是中国人你可以回来，但是能不能不要祸害人？？？能不能有点意识提前报备？？,反对#外国人永久居留管理条例#,故意让广州以为是法国回来的，让杭州以为是广州来的，就为了不隔离？既然是外国人人思维害怕隔离要自由就别回来了,怎么说呢？知道意大利危险，就在那里居家隔离也可以啊，不要来回折腾。可以吗,祖国建设你不在，千里送毒你最快,带病回国，不肖子孙。到广东不隔离直接转机，到杭州又能有健康码直接转乐清这是什么骚操作呀，我们荆州跟栓狗似的小区都出不了。,“长期生活在国外”…然后得病就跑回来享受免费医疗～这种人真的是自私到了极点!,为什么不一进海关就隔离？,一直生活在意大利……多次转机……不管有没有贡献，不管是不是回家乡，如果没打报告，没做防护，祸及他人，千里跑病毒，不是同航同行的接触者，不是医护人员，没资格替他们说情有可原,害完上海害广州。。浙江太牛了,砖家建议:每天最少吃三瓣大蒜，虽然这样不能预防新冠病毒，但能让别人跟你保证一米的距离。,浙江以前不是说入境都整机隔离的吗？,我不知道说的对不对，移民国外的人都是嫌弃中国的，嫌弃中国没人权，所以才会移民。而现在国外疫情严重了又回国内避难。,这时候多少人回来是想抢免费的医疗资源的？,,
,,,,,,,,,,,,,,,,,,,,,,
【#浙江新增境外输入确诊病例2例#，#全国累计报告境外输入确诊病例20例#】据国家卫健委通报，3月4日0—24时，新增报告境外输入确诊病例2例（浙江2例）。截至3月4日24时，累计报告境外输入确诊病例20例。,2020/3/5 8:29,"评论
1752",欢迎同胞回家，但一定要做好隔离啊,大浙江加油阿！！！,加油浙江！,浙江加油鸭,严防严控境外输入！,严防严控境外输入！ 加油,美国停止公布新冠数据了，我们是不是应该做点什么？联合其他国家，举世讨伐美国！！,疫情有国界！！！！凡是国外回来的第一时间隔离，看看我们每天新增的很多都是输入型的,严防严控境外输入！,又是浙江，加油浙江，加油中国,#天津60个国企混改项目股权拍卖#  天津拍卖60家有40几家是盈利的企业，天津医药集团全国500强企业，利润10亿，出让股权65%到100%，这么优质的国有企业国有资产也敢卖！（引进资金可以不放弃控股权卖50%以下股权，全卖了啥意思）私有化，贱买，割韭菜，转移国外我仿佛看到90年代苏俄的影子,坚决反对外国人永久居留管理条例，中国是56个民族的中国，引狼入室的人是中国人民的敌人。放弃幻想，准备战斗！,境外输入的就不要国家承担费用了吧……,各位亲们谨记，并不是现在已经有多安全了，而是国家再不放行就要乱套了，所以该怎么样防护还是得怎么样防护！,我们这些滞留在湖北非武汉地区的健康人员，已经配合居家隔离了四十几天了，无论是心理，身体及生活压力都到了一个极限了，我们回到工作地还有至少14天的隔离期，这样算下来一共最少隔离两个月了，这个换作任何人，都会有问题的。请逐步放行滞留人员，基层社区党组成员做好人员筛查工作，分批放行不难的,评论别再说浙江欢迎了，本浙江人真的不欢迎。国外回来的之前生活不都挺舒服该干啥干啥，反观我们呢？一个多月没有正常生活，现在国外严重又立马往国内跑合着我们努力都白费了呗。换一句话说湖北人为啥连出入的资格都没有想隔离都不给？湖北人不是中国人了？,浙江也太难了吧,大浙江，挺住！请华侨们回来路上要事先申报、配合隔离，而且一定带口罩手套！,,
,,,,,,,,,,,,,,,,,,,,,,
【#湖北以外新增病例5例#】据国家卫健委数据统计，3月4日0—24时，湖北以外30个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例5例。,2020/3/5 8:27,"评论
440",一个也不能有就最好了,坚持住[加油],这5例都是哪里的？,加油！挺住,从没这么喜欢0这个数字,坚持住！,,各位亲们谨记，并不是现在已经有多安全了，而是国家再不放行就要乱套了，所以该怎么样防护还是得怎么样防护！,让湖北其他地级市逐步解封吧，我们也要外出复工，挣钱养家,不要放松警惕，严防境外输入，坚决反对#外国人永久居留管理条例#,我们这些滞留在湖北非武汉地区的健康人员，已经配合居家隔离了四十几天了，无论是心理，身体及生活压力都到了一个极限了，我们回到工作地还有至少14天的隔离期，这样算下来一共最少隔离两个月了，这个换作任何人，都会有问题的。请逐步放行滞留人员，基层社区党组成员做好人员筛查工作，分批放行不难的,疫情关键时期还不能放松，现在反过来了，成中国从疫区国撤侨了，相信撤回来的人都会得到妥善的安置、隔离，这样比分散回来的隐患小,虽然我们国家的疫情已经有所平稳了，按理说大家再坚持这段时间就好了，但是这几天看见好多地方都开始人山人海的。几乎全面进入放松期 …真的害怕…大家把我赞上去让个别人有个警惕吧 最后关头千万别放松了。,#天津60个国企混改项目股权拍卖#  天津拍卖60家有40几家是盈利的企业，天津医药集团全国500强企业，利润10亿，出让股权65%到100%，这么优质的国有企业国有资产也敢卖！（引进资金可以不放弃控股权卖50%以下股权，全卖了啥意思）私有化，贱买，割韭菜，转移国外我仿佛看到90年代苏俄的影子,疫情有国界！！！！凡是国外回来的第一时间隔离，看看我们每天新增的很多都是输入型的,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"【#湖北新增确诊病例134例#，#湖北累计确诊病例67466例#】据湖北省卫健委通报，2020年3月4日0—24时，全省新增新冠肺炎确诊病例134例，其中：武汉市131例、鄂州市2例、黄石市1例，其他14个市州均为0例。无境外输入性病例。
全省新增病亡31例，其中：武汉市23例、鄂州市3例、襄阳市1例、宜昌市1例、孝感市1例、恩施州1例、天门市1例，其他10个市州均为0例。
全省新增出院1923例，其中：武汉市1426例、孝感市108例、黄冈市66例、荆州市54例、襄阳市40例、黄石市39例、随州市38例、鄂州市32例、宜昌市30例、十堰市22例、荆门市22例、咸宁市17例、天门市14例、潜江市9例、仙桃市4例、恩施州2例、神农架林区0例。
截至2020年3月4日24时，湖北省累计报告新冠肺炎确诊病例67466例，其中：武汉市49671例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1394例、随州市1307例、襄阳市1175例、黄石市1015例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。
全省累计治愈出院40479例，其中：武汉市26316例、孝感市2821例、黄冈市2472例、荆州市1269例、襄阳市980例、随州市975例、鄂州市912例、黄石市822例、咸宁市776例、荆门市686例、宜昌市638例、十堰市527例、仙桃市481例、天门市435例、恩施州207例、潜江市151例、神农架林区11例。
全省累计病亡2902例，其中：武汉市2305例、黄冈市121例、孝感市121例、鄂州市52例、荆州市48例、随州市42例、荆门市39例、黄石市36例、襄阳市35例、宜昌市33例、仙桃市20例、天门市15例、咸宁市14例、潜江市9例、十堰市7例、恩施州5例、神农架林区0例。
目前仍在院治疗20765例，其中：重症4747例、危重症1041例，均在定点医疗机构接受隔离治疗。现有疑似病例315人，当日新增67人，当日排除91人，集中隔离315人。累计追踪密切接触者270593人，尚在接受医学观察22801人。",2020/3/5 8:24,"评论
568",武汉快好啊，我想回家，还想上学,加油武汉[加油],疑似病例继续清吧！！,虽然我们国家的疫情已经有所平稳了，按理说大家再坚持这段时间就好了，但是这几天看见好多地方都开始人山人海的，，几乎全面进入放松期 …真的害怕…大家把我赞上去让个别人有个警惕吧 最后关头千万别放松了。,请大家投票！！注意坚决反对#外国人永久居留管理条例#，漏洞百出，请大家都去了解下！《中华人民共和国 外国人永久居留管理条例（征求意见稿）》全文在这里，3月27日前，大家可以来这里提意见（进入网站www.moj.gov.cn、www.chinalaw.gov.cn、www.12348.gov.cn）或发邮件至YJJL2020@chinalaw.gov.cn,地处湖北某市，已连续十多天无新增，在有权威性媒体公布的数据下，比大多数复工省市的安全系数要高吧？那是否也该考虑一下三六九等，让疫情依然险峻的市依旧保持严格措施，而不是所谓不动脑一刀切。,我们这些滞留在湖北非武汉地区的健康人员，已经配合居家隔离了四十几天了，无论是心理，身体及生活压力都到了一个极限了，我们回到工作地还有至少14天的隔离期，这样算下来一共最少隔离两个月了，这个换作任何人，都会有问题的。请逐步放行滞留人员，基层社区党组成员做好人员筛查工作，分批放行不难的,坚决反对#外国人永久居留管理条例#,#天津60个国企混改项目股权拍卖#  天津拍卖60家有40几家是盈利的企业，天津医药集团全国500强企业，利润10亿，出让股权65%到100%，这么优质的国有企业国有资产也敢卖！（引进资金可以不放弃控股权卖50%以下股权，全卖了啥意思）私有化，贱买，割韭菜，转移国外我仿佛看到90年代苏俄的影子,我们这些滞留在湖北非武汉地区的健康人员，已经配合居家隔离了四十几天了，无论是心理，身体及生活压力都到了一个极限了，我们回到工作地还有至少14天的隔离期，这样算下来一共最少隔离两个月了，这个换作任何人，都会有问题的。请逐步放行滞留人员，基层社区党组成员做好人员筛查工作，分批放行不难的,降到0是不可能的，全世界沦陷，你能限制中国人，能限制外国人吗？人员流动肯定有零星案例。降到个位数就该干嘛干嘛了，其他的以人民的警觉性和口罩对付。此时即使有零星，也容易追踪了。,防止输入性病历不能放松警惕呀,民國一百零九年，荊楚大疫，今盼大陸同胞一切平安,哎 还以为今天能降到两位数呢加油啊 武汉,虽然我们国家的防控疫情已经有点好转了，但是关键时候还是不能放松，一定要坚持！,鄂州市要作死啊，连着几天新增,,,,
,,,,,,,,,,,,,,,,,,,,,,
"【#31省区市新增139例新冠肺炎# ，#31省区市累计报告80409例新冠肺炎#】 3月4日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例139例，新增死亡病例31例（湖北31例），新增疑似病例143例。
当日新增治愈出院病例2189例，解除医学观察的密切接触者6584人，重症病例减少464例。
截至3月4日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例25352例（其中重症病例5952例），累计治愈出院病例52045例，累计死亡病例3012例，累计报告确诊病例80409例，现有疑似病例522例。累计追踪到密切接触者669025人，尚在医学观察的密切接触者32870人。
湖北新增确诊病例134例（武汉131例），新增治愈出院病例1923例（武汉1426例），新增死亡病例31例（武汉23例），现有确诊病例24085例（武汉21050例），其中重症病例5788例（武汉5342例）。累计治愈出院病例40479例（武汉26316例），累计死亡病例2902例（武汉2305例），累计确诊病例67466例（武汉49671例）。新增疑似病例67例（武汉61例），现有疑似病例315例（武汉247例）。
3月4日0—24时，新增报告境外输入确诊病例2例（浙江2例）。截至3月4日24时，累计报告境外输入确诊病例20例。
累计收到港澳台地区通报确诊病例156例：香港特别行政区104例（出院43例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。",2020/3/5 8:24,"评论
479",要越来越少呀,加油,这些天复工复产，很多地方都解封了，人流增多，好些人防护意识降低，有些人都不带口罩了，希望大家要继续努力，共同渡过难关！,快点结束吧,中国加油，春暖花开，我们相约看樱花烂漫。,加油,加油！向零发起冲刺[加油],加油，越来越少,加油！等待春暖花开,请大家投票！！注意坚决反对#外国人永久居留管理条例#，漏洞百出，请大家都去了解下！《中华人民共和国 外国人永久居留管理条例（征求意见稿）》全文在这里，3月27日前，大家可以来这里提意见（进入网站www.moj.gov.cn、www.chinalaw.gov.cn、www.12348.gov.cn）或发邮件至YJJL2020@chinalaw.gov.cn,永居条例四点担心:一，永居权的实际上报单位是县级机关，不规范操作风险太大，条例本身就有漏洞。二，永居者的权利范围大，而他们的义务含混不清，形成超国民待遇。三，担心永居条例给一些假外国人开门，形成双国籍。四，中国不是移民国家，也没有成为移民国家的必要。,黑龙江有1例了，十天又清零了……我枯了,虽然我们国家的疫情已经有所平稳了，按理说大家再坚持这段时间就好了，但是这几天看见好多地方都开始人山人海的，，几乎全面进入放松期 …真的害怕…大家把我赞上去让个别人有个警惕吧 最后关头千万别放松了。,每天都在减少，真好,湖北不止一个武汉！期望zf关注下湖北除武汉地区的，5000w湖北老百姓，下面市县已多天0增长了，是否可以考虑分区分级降低防控等级，让我们老百姓也看到点希望？,加油加油，世界脫離病毒還得靠大陸,,,,
